0
"[[63.6 51.2  4.   3. ]
 [67.5 48.3  0.   6. ]
 [69.1 49.6  4.   6. ]
 ...
 [87.2 64.4  7.   6. ]
 [89.6 68.2  3.   1. ]
 [87.8 65.9  6.   9. ]]"
 [ 94.5  90.    7.    8. ]
 [ 90.7  88.    0.    9. ]
 [ 88.5  87.    1.    1. ]
 [ 91.   88.    2.    3. ]
 [ 99.4  86.6   2.    9. ]
 [101.   74.    0.    2. ]]"
"[[69.8 50.8  4.   4. ]
 [69.5 50.8  3.  11. ]
 [70.5 52.2  1.   4. ]
 ...
 [81.  58.  13.  13. ]
 [85.5 62.5  0.   5. ]
 [89.  66.   1.   2. ]]"
"[[82.1 58.   9.   7. ]
 [73.6 57.   5.   7. ]
 [69.5 49.4 14.  10. ]
 ...
 [55.6 39.5  3.  10. ]
 [59.  42.6  2.   4. ]
 [59.5 43.3  0.   0. ]]"
"[[ 73.1  59.3   5.    7. ]
 [ 76.8  63.8   7.    5. ]
 [ 79.9  65.5   2.    3. ]
 ...
 [116.5  97.1  18.   10. ]
 [116.9  96.4  17.    9. ]
 [119.   89.5   9.   16. ]]"
"[[ 80.4  59.4   2.    5. ]
 [ 83.7  70.1   3.   10. ]
 [ 83.2  66.9  20.   11. ]
 [ 87.9  71.4  17.    3. ]
 [ 85.5  69.    8.    4. ]
 [ 77.   58.7   1.    3. ]
 [ 77.   57.    0.    2. ]
 [ 81.   65.    2.    6. ]
 [ 86.1  71.6  12.    3. ]
 [ 85.4  64.6  22.    8. ]
 [ 86.   67.4   5.   10. ]
 [ 85.3  65.4   4.    6. ]
 [ 88.1  71.6  17.    6. ]
 [ 81.9  68.4   9.   14. ]
 [ 85.8  70.4  22.   21. ]
 [ 83.3  68.1  29.   16. ]
 [ 84.5  69.   13.    6. ]
 [ 87.5  69.5   9.    4. ]
 [ 89.   63.2  18.   16. ]
 [ 84.   59.3   2.    4. ]
 [ 81.3  56.8   2.   19. ]
 [ 79.3  55.3   5.   10. ]
 [ 82.4  60.7   7.   22. ]
 [ 86.3  61.5   3.    4. ]
 [ 87.9  63.3   9.    6. ]
 [ 92.2  66.8   7.    3. ]
 [ 93.4  69.6  11.    9. ]
 [ 92.   72.3   2.    1. ]
 [ 86.5  63.9   2.   15. ]
 [ 69.1  52.1  15.    4. ]
 [ 67.3  50.6  29.   23. ]
 [ 71.7  53.1  59.   13. ]
 [ 65.6  48.4   8.    7. ]
 [ 71.8  59.5   1.    4. ]
 [ 73.7  62.7   2.    6. ]
 [ 71.1  60.1  22.    4. ]
 [ 71.3  61.5   8.    5. ]
 [ 71.5  61.9  19.   40. ]
 [ 69.8  57.6   3.    5. ]
 [ 74.3  54.    8.    2. ]
 [ 75.6  54.2   9.    8. ]
 [ 77.5  56.   19.    7. ]
 [ 78.4  57.2  31.   12. ]
 [ 75.3  53.2  23.   12. ]
 [ 81.5  69.    5.    8. ]
 [ 82.4  73.8   2.    2. ]
 [ 80.9  71.5   5.   12. ]
 [ 80.4  70.6  20.    3. ]
 [ 81.7  66.3   7.    4. ]
 [ 83.7  66.3  98.   45. ]
 [ 83.6  63.4   9.   26. ]
 [ 84.5  65.3   5.    4. ]
 [ 81.5  65.    5.    7. ]
 [ 76.4  61.2   6.    7. ]
 [ 81.2  64.3  16.    9. ]
 [ 79.5  60.    2.    3. ]
 [ 81.3  67.    3.    1. ]
 [ 85.   75.    3.    2. ]
 [ 86.8  79.8   5.    8. ]
 [ 87.6  78.5  19.    6. ]
 [ 87.   79.8  19.    5. ]
 [ 86.   77.8  17.   12. ]
 [ 87.   78.8   3.   11. ]
 [ 85.3  73.8   2.    4. ]
 [ 79.5  62.    1.    1. ]
 [ 77.4  59.8   1.    2. ]
 [ 78.3  57.3  14.    4. ]
 [ 82.3  57.7   5.    6. ]
 [ 85.1  63.8   3.    2. ]
 [ 85.4  63.6  16.    6. ]
 [ 86.   63.5   5.    1. ]
 [ 86.5  65.4   9.   10. ]
 [ 85.3  67.    7.    3. ]
 [ 87.4  66.9  32.   16. ]
 [ 88.2  68.    8.    1. ]
 [ 85.8  65.4  18.   13. ]
 [ 85.   65.    0.    1. ]
 [ 87.2  64.5  12.    1. ]
 [ 88.9  67.1   4.    4. ]
 [ 86.9  64.   12.    2. ]
 [ 88.   63.    3.    1. ]
 [ 89.5  61.8   8.   15. ]
 [ 88.3  63.7   3.    2. ]
 [ 89.4  65.7  17.    5. ]
 [ 91.   66.    7.    6. ]
 [ 92.   66.    7.    3. ]
 [ 90.   65.    7.    7. ]
 [ 89.7  65.7  24.   11. ]
 [ 89.6  66.4  12.   11. ]
 [ 91.   67.    7.    3. ]
 [ 89.4  64.2  12.    9. ]
 [ 86.3  62.    8.    2. ]
 [ 82.8  60.    7.    5. ]
 [ 84.4  59.   20.    7. ]
 [ 87.1  61.4  26.    8. ]
 [ 89.   62.    0.    1. ]
 [ 89.   62.    0.    0. ]
 [ 90.   62.7   4.    5. ]
 [ 91.7  67.3   5.    0. ]
 [ 91.7  65.8  17.   14. ]
 [ 92.   66.    8.    2. ]
 [ 92.1  67.5   8.    4. ]
 [ 91.5  66.   11.    5. ]
 [ 91.7  66.1   7.    1. ]
 [ 93.8  71.    4.    1. ]
 [ 91.1  69.7  11.   16. ]
 [ 92.   71.7   7.    2. ]
 [ 90.   68.5   3.    2. ]
 [ 88.   66.3   4.    4. ]
 [ 88.4  64.   10.   12. ]
 [ 91.4  67.2   6.    5. ]
 [ 90.2  66.7  87.   18. ]
 [ 86.3  64.    2.   15. ]
 [ 85.4  62.    9.    7. ]
 [ 87.   63.   10.    1. ]
 [ 89.8  65.    7.    8. ]
 [ 91.   73.1   7.    2. ]
 [ 88.   76.2   5.    4. ]
 [ 81.8  71.9   8.   12. ]
 [ 84.6  74.9  17.    8. ]
 [ 85.8  76.4  48.    4. ]
 [ 84.6  73.4   7.    3. ]
 [ 85.7  68.1   8.    6. ]
 [ 87.8  69.5   4.    4. ]
 [ 89.7  65.2   3.    4. ]
 [ 90.   65.    1.    1. ]
 [ 92.9  66.   12.    3. ]
 [ 87.7  62.3   1.    0. ]
 [ 86.   60.6   2.    1. ]
 [ 87.4  61.9  30.    1. ]
 [ 89.5  62.5   6.    0. ]
 [ 91.   62.5   1.    0. ]
 [ 92.2  63.    4.    3. ]
 [ 93.9  66.6  16.    8. ]
 [ 93.   65.6   7.   15. ]
 [ 87.3  63.3   5.    6. ]
 [ 88.   61.9  84.    8. ]
 [ 89.   64.    0.    1. ]
 [ 92.1  65.4 109.   20. ]
 [ 94.5  66.    6.    1. ]
 [ 95.2  67.   10.    5. ]
 [ 96.1  72.   16.   22. ]
 [ 83.3  66.2  14.   25. ]
 [ 77.   62.3  27.   16. ]
 [ 72.4  60.3  18.    8. ]
 [ 75.6  58.8  10.    3. ]
 [ 79.2  59.    3.    2. ]
 [ 77.   58.3   5.   13. ]
 [ 78.   58.3  41.   12. ]
 [ 82.   62.5  13.    8. ]
 [ 84.4  65.2  10.    2. ]
 [ 80.   64.2   3.    5. ]
 [ 76.6  64.4  16.   15. ]
 [ 82.   61.8   3.    8. ]
 [ 81.5  60.4  13.   23. ]
 [ 85.   70.9  10.    4. ]
 [ 79.8  63.3  36.   94. ]
 [ 78.3  58.3   8.   10. ]
 [ 85.   58.6  32.   10. ]
 [ 84.   62.5   4.    2. ]
 [ 84.   62.2  34.    5. ]
 [ 83.5  70.   19.    3. ]
 [ 82.7  63.   57.    7. ]
 [ 83.4  63.1   6.    9. ]
 [ 80.2  61.4   6.    5. ]
 [ 83.8  65.5   3.   13. ]
 [ 81.6  64.4  12.    5. ]
 [ 85.3  66.   50.    7. ]
 [ 85.8  66.4  63.   13. ]
 [ 82.1  61.7   9.   13. ]
 [ 80.9  66.9   9.    5. ]
 [ 88.5  73.4  35.   31. ]
 [ 90.5  74.1  21.    4. ]
 [ 90.5  63.8  14.    4. ]
 [ 92.8  66.8   3.    5. ]
 [ 92.5  66.6  12.    8. ]
 [ 91.1  64.2   5.    3. ]
 [ 92.4  72.8  12.    5. ]
 [ 90.3  64.9   5.    6. ]
 [ 86.2  62.2   9.   16. ]
 [ 76.   54.8   4.    8. ]
 [ 77.   53.3  15.    4. ]
 [ 82.7  57.2  18.    2. ]
 [ 85.9  59.1  49.   10. ]
 [ 89.7  71.3  69.   17. ]
 [ 85.   69.5   4.    0. ]
 [ 84.8  62.1  15.    6. ]
 [ 84.8  64.3  16.   13. ]
 [ 81.   62.8   5.    4. ]
 [ 80.   62.    5.    3. ]
 [ 81.7  62.7   1.    3. ]
 [ 88.9  59.4   9.   14. ]
 [ 90.9  60.   19.    3. ]
 [ 86.5  65.7  33.   12. ]
 [ 85.   65.    1.    4. ]
 [ 85.   64.    5.    1. ]
 [ 87.   65.1  25.    9. ]
 [ 88.4  64.8  18.    3. ]
 [ 88.8  61.8   2.   16. ]
 [ 88.5  59.9  31.    6. ]
 [ 92.4  61.    9.    6. ]
 [ 93.5  61.5  14.    6. ]
 [ 91.3  64.    8.    4. ]
 [ 81.   57.2   5.    3. ]
 [ 80.8  56.4  10.    7. ]
 [ 83.9  59.1   7.    7. ]
 [ 87.8  60.8   5.    7. ]]"
"[[66.5 61.   0.   1. ]
 [66.2 61.6  5.  12. ]
 [64.2 48.  46.  15. ]
 ...
 [62.8 40.  20.   4. ]
 [62.  38.  42.   8. ]
 [68.2 50.2 19.   8. ]]"
"[[57.6 40.4  3.  24. ]
 [63.1 48.2 18.  13. ]
 [55.5 42.3 12.  19. ]
 ...
 [58.  42.5  5.  10. ]
 [56.4 44.2  4.   2. ]
 [60.2 46.8  1.   2. ]]"
"[[ 55.1  37.9   8.    8. ]
 [ 61.3  44.8   3.    3. ]
 [ 66.   43.7  14.   16. ]
 [ 71.8  53.8   2.    4. ]
 [ 73.6  53.    6.    2. ]
 [ 75.9  52.8   6.    7. ]
 [ 81.8  64.8   2.    5. ]
 [ 84.6  67.    6.    4. ]
 [ 87.4  67.8   3.   14. ]
 [ 88.1  66.6   2.    2. ]
 [ 87.   66.9   5.    7. ]
 [ 87.   67.8   2.    1. ]
 [ 89.5  68.8   8.   12. ]
 [ 87.   70.3   4.    6. ]
 [ 85.   68.9  13.   20. ]
 [ 87.1  72.    7.    7. ]
 [ 92.1  72.    5.    1. ]
 [ 87.   72.9   6.    7. ]
 [ 87.3  73.4   6.    8. ]
 [ 91.   74.    2.    4. ]
 [ 94.8  75.8   2.    4. ]
 [ 95.   76.8   2.    3. ]
 [ 91.7  74.9   9.    5. ]
 [ 87.3  75.    3.    6. ]
 [ 87.2  75.3   3.    6. ]
 [ 88.3  74.    0.    3. ]
 [ 90.8  76.5   9.    5. ]
 [ 91.3  78.2   6.    7. ]
 [ 91.6  77.4   6.    5. ]
 [ 91.3  78.4   4.    5. ]
 [ 91.7  79.9   5.    9. ]
 [ 90.5  78.8   1.    1. ]
 [ 89.3  78.3  16.   12. ]
 [ 95.   78.3   3.    8. ]
 [ 93.8  76.8   4.    5. ]
 [ 96.7  77.6   7.    4. ]
 [ 98.9  79.5   6.    7. ]
 [ 99.   79.2   2.    3. ]
 [ 98.5  77.3   1.    0. ]
 [ 94.   73.5  12.   12. ]
 [ 94.   73.5   5.    7. ]
 [ 95.6  73.9   3.    3. ]
 [ 98.8  76.5   8.    9. ]
 [ 99.   76.    6.    6. ]
 [ 99.9  78.1   6.    5. ]
 [ 98.4  83.3   3.    6. ]
 [ 99.6  85.3   3.    6. ]
 [ 98.   84.6  81.    8. ]
 [ 95.5  85.    0.    1. ]
 [ 93.9  84.8  13.    6. ]
 [ 94.   84.   14.    8. ]
 [ 96.8  82.3  22.    2. ]
 [101.   82.4  41.    4. ]
 [103.4  82.9  14.    2. ]
 [103.   81.3   2.    1. ]
 [103.5  82.9  16.   10. ]
 [ 95.1  76.6  49.   13. ]
 [ 94.8  78.3  34.    4. ]
 [ 94.3  80.1  12.    6. ]
 [ 93.5  81.    3.    1. ]
 [ 92.2  81.2   4.    4. ]
 [ 92.3  81.1   6.    9. ]
 [ 95.3  84.2  16.   13. ]
 [ 94.2  81.6   2.    5. ]
 [ 94.1  80.9   6.    9. ]
 [ 94.   83.    3.    7. ]
 [ 92.7  79.2   4.    3. ]
 [ 97.3  81.2   8.    4. ]
 [101.8  79.3   3.    6. ]
 [ 95.7  77.7   3.    1. ]
 [102.1  81.3  17.   24. ]
 [104.   80.8   3.    4. ]
 [104.   81.    5.    4. ]
 [105.1  89.5   3.    8. ]
 [103.8  88.5   3.    2. ]
 [102.4  87.9   6.    6. ]
 [103.   86.4   7.    9. ]
 [102.7  87.5   6.    9. ]
 [101.6  85.4  17.    8. ]
 [102.   87.    4.    3. ]
 [102.2  87.6   9.    6. ]
 [102.2  87.3   6.    5. ]
 [102.3  87.3   9.    6. ]
 [102.6  87.5  20.   10. ]
 [107.4  86.    1.    1. ]
 [107.   82.    1.    1. ]
 [104.9  83.7  54.   10. ]
 [107.   83.    2.    1. ]
 [108.6  82.    5.    1. ]
 [107.9  81.8   5.    8. ]
 [104.5  89.5   1.    5. ]
 [105.8  95.2   4.    7. ]
 [ 99.3  88.1  44.   11. ]
 [101.7  89.6   9.    4. ]
 [105.3  92.8   5.    5. ]
 [106.5  92.6   6.    4. ]
 [105.8  93.1  18.   11. ]
 [104.2  91.8   8.    4. ]
 [104.9  93.1  22.   10. ]
 [101.5  92.1  27.    5. ]
 [101.4  91.3  19.    6. ]
 [ 99.6  89.1   5.    2. ]
 [ 98.   89.6  12.    3. ]
 [100.   91.3   4.    0. ]
 [ 98.2  88.9   9.   14. ]
 [ 97.9  88.5  24.    8. ]
 [ 99.   88.9  42.   13. ]
 [ 97.3  95.    3.    5. ]
 [ 99.3  95.5  15.    7. ]
 [ 96.5  90.4   5.    9. ]
 [ 99.6  90.8   7.    3. ]
 [102.8  92.4  23.    9. ]
 [105.3  90.7  18.    6. ]
 [106.2  88.3   6.   13. ]
 [106.3  86.5   3.    2. ]
 [103.1  83.6   7.    4. ]
 [103.8  85.6   4.    4. ]
 [104.5  97.    2.    5. ]
 [103.8 101.7   7.   10. ]
 [105.6  76.9   4.    4. ]
 [106.6  77.6  40.   65. ]
 [110.3  81.    8.   14. ]
 [109.7  83.8  11.   18. ]
 [110.9  86.1   8.   13. ]
 [111.1  89.2   5.   11. ]
 [114.3  90.1   3.    4. ]
 [114.3  91.3   5.    6. ]]"
"[[61.3 51.   4.   6. ]
 [67.  48.7  5.   8. ]
 [65.  47.2  3.   1. ]
 ...
 [76.2 55.8 11.   3. ]
 [79.8 59.1  4.   9. ]
 [79.6 59.5 13.  36. ]]"
"[[58.1 40.1  9.   8. ]
 [60.1 51.3  5.  15. ]
 [57.9 44.3  3.  12. ]
 ...
 [62.1 48.7  7.   2. ]
 [55.  35.8  3.   9. ]
 [52.5 32.   5.   3. ]]"
"[[ 69.   50.3   6.    6. ]
 [ 70.7  58.    9.   11. ]
 [ 63.2  46.8   5.   27. ]
 [ 69.1  50.7  11.   13. ]
 [ 72.5  52.2  14.   11. ]
 [ 80.7  58.7  22.   13. ]
 [ 86.5  66.4  19.   41. ]
 [ 73.   61.8   3.    8. ]
 [ 66.4  62.2   8.    5. ]
 [ 68.5  63.8  15.    7. ]
 [ 72.5  67.   25.    2. ]
 [ 70.3  58.5   4.   15. ]
 [ 61.1  52.9   1.   10. ]
 [ 65.   48.7  36.   16. ]
 [ 69.2  55.2   7.   17. ]
 [ 67.1  50.2   4.    4. ]
 [ 68.1  50.3   7.    6. ]
 [ 68.2  53.5   6.    8. ]
 [ 65.9  52.4   1.    8. ]
 [ 73.7  57.7  35.   63. ]
 [ 78.3  59.    3.    5. ]
 [ 78.8  60.4   5.    3. ]
 [ 79.8  63.9  32.    8. ]
 [ 76.5  64.    7.    5. ]
 [ 76.6  63.6   6.    9. ]
 [ 77.1  61.5   9.   11. ]
 [ 64.4  49.8   6.   20. ]
 [ 68.3  52.   14.   19. ]
 [ 70.   52.5   1.    0. ]
 [ 71.3  53.6   7.    9. ]
 [ 72.2  53.2  15.    7. ]
 [ 72.8  54.   17.    2. ]
 [ 73.9  52.8   7.   12. ]
 [ 74.8  54.6   3.    5. ]
 [ 70.8  53.5  43.   25. ]
 [ 72.7  54.7   4.    7. ]
 [ 73.   54.9  23.   16. ]
 [ 75.9  56.9  25.   19. ]
 [ 78.3  57.    1.    1. ]
 [ 75.1  53.5  20.   53. ]
 [ 76.   52.    6.    5. ]
 [ 77.9  58.1  19.   13. ]
 [ 82.   65.8  24.   12. ]
 [ 83.7  65.8  16.    4. ]
 [ 85.   67.9  23.   17. ]
 [ 69.9  50.5   8.   10. ]
 [ 70.8  50.3   1.    2. ]
 [ 70.7  52.9  33.   42. ]
 [ 70.3  53.5  16.   20. ]
 [ 76.   57.8   3.    7. ]
 [ 62.6  45.6  25.   19. ]
 [ 74.   55.9  12.   14. ]
 [ 77.   58.7   4.    6. ]
 [ 74.8  57.4   7.    6. ]
 [ 73.8  55.8   6.    5. ]
 [ 76.   55.4  18.    6. ]
 [ 76.2  54.8  23.   12. ]
 [ 77.2  57.    3.    3. ]
 [ 76.8  57.5   6.    7. ]
 [ 75.4  58.3   4.    5. ]
 [ 77.8  60.7  31.   16. ]
 [ 82.7  64.3   1.    1. ]
 [ 82.8  64.    1.    1. ]
 [ 80.2  60.5   1.    4. ]
 [ 68.9  54.    6.   21. ]
 [ 65.3  52.3   7.    3. ]
 [ 66.4  53.4   3.   13. ]
 [ 61.4  46.4   6.   11. ]
 [ 63.3  48.   12.    9. ]
 [ 68.3  53.2   8.    3. ]
 [ 71.9  52.5  11.   13. ]
 [ 72.   53.2   5.    4. ]
 [ 74.1  55.1   2.    7. ]
 [ 65.4  47.    7.   24. ]
 [ 71.   51.1   2.    3. ]
 [ 77.7  58.7   6.   11. ]
 [ 73.4  56.3  12.    7. ]
 [ 75.6  56.2   4.    3. ]
 [ 66.8  50.    3.   24. ]
 [ 64.5  48.8   8.    6. ]
 [ 64.9  49.1   9.   23. ]
 [ 65.8  50.6   2.    2. ]
 [ 64.8  51.3  15.   24. ]
 [ 62.   45.3   3.    6. ]
 [ 64.   45.    1.    1. ]
 [ 71.5  51.7   9.   13. ]
 [ 75.3  56.4   5.    6. ]
 [ 75.3  58.2  13.    9. ]
 [ 73.2  54.6   6.    7. ]
 [ 64.1  47.5  13.   48. ]
 [ 47.9  33.9   2.    7. ]
 [ 51.7  35.1   3.    2. ]
 [ 52.4  37.8   1.    1. ]
 [ 53.7  39.    0.    3. ]
 [ 54.1  37.8   3.    3. ]
 [ 53.2  39.2  10.   18. ]
 [ 51.   39.5   1.    1. ]
 [ 50.2  42.    3.    4. ]
 [ 49.5  43.    1.    3. ]
 [ 55.4  44.6   3.    5. ]
 [ 56.4  39.3   3.   11. ]
 [ 57.5  44.5   3.    7. ]
 [ 59.1  47.1   3.    4. ]
 [ 60.9  50.    3.    4. ]
 [ 64.   52.3   2.    2. ]
 [ 68.3  54.    2.    8. ]
 [ 66.6  56.1   3.    6. ]
 [ 64.4  53.6   6.   25. ]
 [ 62.   52.    2.    1. ]
 [ 67.3  52.    2.    4. ]
 [ 65.8  47.    2.    3. ]
 [ 65.4  44.6   5.    7. ]
 [ 69.4  46.3  15.    3. ]
 [ 74.3  55.2   8.    6. ]
 [ 72.5  52.    5.    5. ]
 [ 72.8  51.3   9.    4. ]
 [ 72.   48.8   1.    5. ]
 [ 70.9  47.    4.    2. ]
 [ 75.1  53.4   2.    5. ]
 [ 77.4  55.3  11.   12. ]
 [ 78.3  56.3  58.   56. ]
 [ 75.7  53.3   2.    2. ]
 [ 71.4  53.    2.    7. ]
 [ 71.7  53.8  11.    5. ]
 [ 76.5  57.    5.    1. ]
 [ 77.5  58.3  20.    3. ]
 [ 80.   62.3   6.    5. ]
 [ 78.5  60.5   7.    7. ]
 [ 79.3  59.    7.    7. ]
 [ 78.8  58.6  38.    5. ]
 [ 72.7  51.7   8.    8. ]
 [ 63.3  43.    5.    9. ]
 [ 62.   48.7   4.    3. ]
 [ 64.   53.3   5.    1. ]
 [ 65.4  56.6  58.   27. ]
 [ 60.3  52.2   1.   12. ]
 [ 60.6  39.4 129.   39. ]
 [ 67.   42.4  11.   37. ]
 [ 72.5  46.5  13.    3. ]
 [ 74.   50.5   8.    8. ]
 [ 76.2  55.6   0.    3. ]
 [ 78.6  59.3  15.   18. ]
 [ 78.3  58.6  28.    7. ]
 [ 80.4  63.1   5.   15. ]
 [ 82.3  66.3   9.    8. ]
 [ 63.5  49.8   9.   19. ]
 [ 69.   51.7   5.    8. ]
 [ 63.2  48.8   5.    9. ]
 [ 67.3  52.5   2.    4. ]
 [ 58.9  46.2  10.    6. ]
 [ 54.   42.    8.   22. ]
 [ 50.   37.8  17.   16. ]
 [ 52.7  38.9  21.    6. ]
 [ 67.1  51.2  16.   12. ]
 [ 76.2  56.3   7.    4. ]
 [ 81.5  61.5   3.    0. ]
 [ 83.   64.9  13.   17. ]
 [ 78.9  57.3   9.   12. ]
 [ 81.5  59.5   1.    3. ]
 [ 83.   67.   11.    2. ]
 [ 83.2  66.7  67.   22. ]
 [ 81.3  63.1  54.   14. ]
 [ 82.4  62.6  25.    5. ]
 [ 76.6  57.3  12.   31. ]
 [ 72.3  54.7   1.    2. ]
 [ 74.8  61.   21.   11. ]
 [ 75.9  61.6  10.    6. ]
 [ 75.2  58.    2.   10. ]
 [ 74.   58.8  29.    1. ]
 [ 78.   53.3  11.    1. ]
 [ 80.7  55.    7.    2. ]
 [ 82.   57.3  20.    5. ]
 [ 81.   66.2   3.   14. ]
 [ 79.3  63.3   9.   10. ]
 [ 73.4  63.8  19.    6. ]
 [ 73.9  65.5  14.    8. ]
 [ 69.6  59.3   6.   11. ]
 [ 71.   59.2  13.   11. ]
 [ 74.8  62.6   3.    6. ]
 [ 74.8  70.4   5.    4. ]
 [ 68.7  52.2   2.   21. ]
 [ 63.1  45.7   5.   13. ]
 [ 68.3  49.9  31.   16. ]
 [ 73.2  54.5  24.    2. ]
 [ 74.1  50.8   3.    5. ]
 [ 78.6  53.4  13.   11. ]
 [ 79.4  55.5  10.    7. ]
 [ 78.3  54.3   5.    2. ]
 [ 76.7  53.6  29.    9. ]
 [ 79.3  58.1   2.   15. ]
 [ 74.6  59.6   1.   11. ]
 [ 76.7  62.1   8.   13. ]]"
"[[76.  57.3  4.   2. ]
 [75.8 58.2 16.  17. ]
 [76.1 58.  23.  11. ]
 ...
 [84.  69.3  7.  12. ]
 [86.  73.   7.   1. ]
 [85.  73.8 24.  11. ]]"
"[[60.7 42.9  4.  16. ]
 [60.3 41.5  3.   8. ]
 [65.7 46.9 13.  12. ]
 ...
 [64.  45.3 24.   9. ]
 [67.9 46.7  4.   4. ]
 [71.3 52.   6.   5. ]]"
"[[65.  48.   2.   3. ]
 [64.2 48.3  9.   7. ]
 [64.2 54.  62.   9. ]
 ...
 [88.7 61.1 28.   6. ]
 [90.1 64.   9.   5. ]
 [82.5 58.   7.   7. ]]"
"[[57.1 42.   6.  11. ]
 [58.  42.7  7.   2. ]
 [61.4 44.5 14.  11. ]
 ...
 [53.3 42.8  2.   6. ]
 [51.  40.2  2.   4. ]
 [50.8 41.3  1.   2. ]]"
